"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "PostCSS", "XML", "JSON", "JSON with Comments", "Markdown", "comment", "blank", "total"
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/pomodoro/utils.test.ts", "TypeScript", 105, 0, 0, 0, 0, 0, 0, 0, 0, 15, 120
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/pomodoro/utils.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 0, 0, 29, 11, 93
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/qr/constants.test.ts", "TypeScript", 367, 0, 0, 0, 0, 0, 0, 0, 16, 70, 453
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/qr/constants.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 0, 32, 11, 83
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/qr/generator.ts", "TypeScript", 183, 0, 0, 0, 0, 0, 0, 0, 46, 23, 252
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/qr/index.ts", "TypeScript", 49, 0, 0, 0, 0, 0, 0, 0, 9, 6, 64
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/qr/types.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 42, 11, 88
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/qr/utils.test.ts", "TypeScript", 242, 0, 0, 0, 0, 0, 0, 0, 6, 36, 284
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/qr/utils.ts", "TypeScript", 131, 0, 0, 0, 0, 0, 0, 0, 50, 23, 204
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/qr/validation.test.ts", "TypeScript", 460, 0, 0, 0, 0, 0, 0, 0, 3, 78, 541
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/qr/validation.ts", "TypeScript", 213, 0, 0, 0, 0, 0, 0, 0, 54, 37, 304
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/workspace/constants.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 10, 8, 31
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/workspace/index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 3, 2, 8
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/workspace/storage.test.ts", "TypeScript", 122, 0, 0, 0, 0, 0, 0, 0, 2, 23, 147
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/workspace/storage.ts", "TypeScript", 192, 0, 0, 0, 0, 0, 0, 0, 58, 38, 288
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/workspace/types.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 47, 8, 87
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 44, 0, 0, 1, 45
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/vitest.config.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/vitest.setup.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 8352, 6624, 20, 117, 5, 11027, 44, 23, 1670, 2297, 30179
